par_id,community,text,label
1393,immigrant,"To me , I am always mindful that we are dealing with human beings with similar fears and hopes . I am of course not talking about the hardcore criminals but people like illegal immigrants , first time youthful offenders who may have slipped their way and such .",1
1903,women,"As a result , Anderson quit her job and is now trying to change the law to include all lactating women . "" It does n't matter whether or not you now have a baby to hold , "" she said . "" I was a lactating woman with physical needs . """,0
8276,disabled,"When we talk about the freedom it is essential to remember the valiant war heroes who fought to save our country from L. T. T. E. terrorism throughout 30 years . They sacrificed their lives . They lost their limbs . They became disabled and their families suffered heavily . Economy was ruined . About 100,000 people including civilians lost their lives . Thousands became disabled . Are the people who lost their lives in the 30 years long war were losers ? Are those who saved their lives are winners ? I believe that we , who saved our lives from that tragedy , should remember the lessons we learnt .",1
702,refugee,"The report also indicated that the OIC members also urged the Myanmar government to take urgent measures for a sustainable return of Rohingya refugees and internally and externally displaced population to their homeland , Rakhine State .",0
6502,disabled,"When his mother , Mandy Pedelty , revealed the disabled access signs had been stolen from the back gate of the family 's home in Willington last month , many people expressed their shock and disgust on Facebook .",0
5598,hopeless,"Nerdy Fashionista , hopeless shopaholic , shamelessly vain and a firm believer in "" ALWAYS "" looking fabulous even through her hectic &amp; frustrating role as a Bio . Engineer . Nurturing a secret crush on all fashionable Men , she wishes she 'd have a Men 's fashion line one day . Her glasses and confidence are her best accessories regardless of countless jewelry and cute shoes and bags . Be sure to trust fashion through her eyes ! @toekunbore : do n't be shy to say hi on twitter !",0
2377,vulnerable,"If they could n't , automated "" robo-debt "" letters told them to pay up , in an inversion of the usual onus of proof . It worked like extortion . Some of the victims were vulnerable , some could n't cope .",0
200,refugee,"Hasina said Bangladesh had handed a draft of a deal to Myanmar for quick repatriation of the Rohingya refugees . "" Both countries are examining and discussing it . """,0
4243,in-need,No one was injured in the incident although the barrier was left in need of urgent repairs .,0
5326,vulnerable,"According to a report released by the Global Polio Eradication Initiative ( GPEI ) , between April 17 and May 1 , 155 countries and territories around the world will stop using the trivalent oral polio vaccine ( tOPV ) , which protects against all three strains of wild poliovirus , and replace it with bivalent OPV ( bOPV ) , which protects against the remaining two wild polio strains , types one and three . The GPEI said this effort would provide better protection for children against polio , particularly those most vulnerable to infection .",0
